,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL320553,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@](C)(Oc2ccccc2)C(=O)O)cc1,Active,457.5260000000002,5.736320000000005,1.0,5.0,7.853871964321762
1,CHEMBL149676,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,Intermediate,457.5260000000002,5.736320000000005,1.0,5.0,7.7447274948966935
2,CHEMBL344282,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(Oc2ccccc2)C(=O)O)cc1,Intermediate,443.49900000000014,5.346220000000004,1.0,5.0,6.892790030352131
3,CHEMBL278590,Cc1oc(C2CCCCC2)nc1CCOc1ccc(C[C@](C)(Oc2ccccc2)C(=O)O)cc1,Active,463.5740000000002,6.117020000000006,1.0,5.0,7.823908740944319
4,CHEMBL424133,Cc1oc(-c2cccs2)nc1CCOc1ccc(C[C@](C)(Oc2ccccc2)C(=O)O)cc1,Intermediate,463.5550000000002,5.797820000000006,1.0,6.0,8.0
5,CHEMBL147086,Cc1oc(-c2ccc(-c3ccccc3)cc2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,Intermediate,533.6240000000004,7.403320000000007,1.0,5.0,6.772113295386326
6,CHEMBL345721,Cc1oc(-c2cccs2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,Intermediate,463.5550000000002,5.797820000000006,1.0,6.0,7.619788758288394
7,CHEMBL148774,Cc1oc(-c2cccs2)nc1CCOc1ccc(C[C@@](C)(Oc2ccccc2)C(=O)O)cc1,Intermediate,463.5550000000002,5.797820000000006,1.0,6.0,6.527243550682788
8,CHEMBL148639,CCCCC(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)(Oc1ccccc1)C(=O)O,Active,499.60700000000014,6.906620000000006,1.0,5.0,5.6495581434649385
9,CHEMBL356170,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@](C)(Oc2ccccc2)C(=O)O)cc1,Intermediate,457.5260000000002,5.736320000000005,1.0,5.0,6.411168274405792
10,CHEMBL149438,Cc1oc(-c2ccccc2)nc1CCOc1ccc(OC(C)(Cc2ccccc2)C(=O)O)cc1,Intermediate,457.5260000000002,5.736320000000005,1.0,5.0,6.308918507877031
11,CHEMBL24458,CCC(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)(Oc1ccccc1)C(=O)O,Active,471.55300000000017,6.126420000000007,1.0,5.0,6.5376020021010435
